SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:B6:94,2020-07-25 20:30:15.940855,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
1,DC:A6:32:55:B6:94,2020-07-25 20:30:16.073583,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
2,DC:A6:32:55:B6:94,2020-07-25 20:30:18.078429,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
3,DC:A6:32:55:B6:94,2020-07-25 20:30:19.233364,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
4,DC:A6:32:55:B6:94,2020-07-25 20:30:21.238490,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
5,DC:A6:32:55:B6:94,2020-07-25 20:30:22.038452,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
6,DC:A6:32:55:B6:94,2020-07-25 20:30:23.042182,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
7,DC:A6:32:55:B6:94,2020-07-25 20:30:24.478450,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
8,DC:A6:32:55:B6:94,2020-07-25 20:30:25.237281,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
9,DC:A6:32:55:B6:94,2020-07-25 20:30:26.159722,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
10,DC:A6:32:55:B6:94,2020-07-25 20:30:28.164888,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
11,DC:A6:32:55:B6:94,2020-07-25 20:30:30.169897,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
12,DC:A6:32:55:B6:94,2020-07-25 20:30:31.538686,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
13,DC:A6:32:55:B6:94,2020-07-25 20:30:32.021117,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
14,DC:A6:32:55:B6:94,2020-07-25 20:30:33.178715,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
15,DC:A6:32:55:B6:94,2020-07-25 20:30:35.183832,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
16,DC:A6:32:55:B6:94,2020-07-25 20:30:37.188928,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
17,DC:A6:32:55:B6:94,2020-07-25 20:30:38.070021,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
18,DC:A6:32:55:B6:94,2020-07-25 20:30:39.354492,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
19,DC:A6:32:55:B6:94,2020-07-25 20:30:41.359006,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
20,DC:A6:32:55:B6:94,2020-07-25 20:30:43.261480,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
21,DC:A6:32:55:B6:94,2020-07-25 20:30:45.104034,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
22,DC:A6:32:55:B6:94,2020-07-25 20:30:46.382822,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
23,DC:A6:32:55:B6:94,2020-07-25 20:30:47.479147,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
24,DC:A6:32:55:B6:94,2020-07-25 20:30:48.210277,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
25,DC:A6:32:55:B6:94,2020-07-25 20:30:49.129136,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-54
26,DC:A6:32:55:B6:94,2020-07-25 20:30:50.044122,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
27,DC:A6:32:55:B6:94,2020-07-25 20:30:52.049351,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
28,DC:A6:32:55:B6:94,2020-07-25 20:30:54.054386,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-52
29,DC:A6:32:55:B6:94,2020-07-25 20:30:56.059404,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
30,DC:A6:32:55:B6:94,2020-07-25 20:30:58.064442,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
31,DC:A6:32:55:B6:94,2020-07-25 20:30:59.024466,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-52
32,DC:A6:32:55:B6:94,2020-07-25 20:31:00.314528,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
33,DC:A6:32:55:B6:94,2020-07-25 20:31:01.119535,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-52
34,DC:A6:32:55:B6:94,2020-07-25 20:31:03.124638,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
35,DC:A6:32:55:B6:94,2020-07-25 20:31:05.129586,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
36,DC:A6:32:55:B6:94,2020-07-25 20:31:07.134680,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
37,DC:A6:32:55:B6:94,2020-07-25 20:31:09.139601,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
38,DC:A6:32:55:B6:94,2020-07-25 20:31:11.144650,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
39,DC:A6:32:55:B6:94,2020-07-25 20:31:12.553432,494daad8-cedf-11ea-beb5-dca63255b693,1,1,1,-53
